index,IR,BPM,AvgBPM,EMG,state
0,100685,14.95,0,963,REST
1,100700,14.95,0,962,REST
2,100699,14.95,0,963,REST
3,100696,14.95,0,969,REST
4,100709,14.95,0,962,REST
5,100718,14.95,0,962,REST
6,100709,14.95,0,960,REST
7,100695,14.95,0,960,REST
8,100677,14.95,0,967,REST
9,100687,14.95,0,957,REST
10,100676,14.95,0,954,REST
11,100672,14.95,0,960,REST
12,100670,14.95,0,961,REST
13,100678,14.95,0,963,REST
14,100681,14.95,0,960,REST
15,100688,14.95,0,963,REST
16,100690,14.95,0,960,REST
17,100690,14.95,0,962,REST
18,100695,14.95,0,962,REST
19,100695,14.95,0,962,REST
20,100695,14.95,0,963,REST
21,100695,14.95,0,960,REST
22,100690,14.95,0,966,REST
23,100688,14.95,0,962,REST
24,100685,14.95,0,967,REST
25,100689,14.95,0,965,REST
26,100688,14.95,0,963,REST
27,100687,14.95,0,963,REST
28,100690,14.95,0,961,REST
29,100694,14.95,0,974,REST
30,100685,14.95,0,966,REST
31,100685,14.95,0,955,REST
32,100696,14.95,0,961,REST
33,100689,14.95,0,963,REST
34,100688,14.95,0,961,REST
35,100690,14.95,0,959,REST
36,100687,14.95,0,951,REST
37,100681,14.95,0,961,REST
38,100664,14.95,0,962,REST
39,100643,14.95,0,963,REST
40,100638,14.95,0,986,REST
41,100621,14.95,0,963,REST
42,100622,14.95,0,961,REST
43,100615,14.95,0,961,REST
44,100613,14.95,0,962,REST
45,100595,14.95,0,961,REST
46,100600,14.95,0,960,REST
47,100605,14.95,0,963,REST
48,100608,14.95,0,960,REST
49,100600,14.95,0,959,REST
50,100612,14.95,0,960,REST
51,100607,14.95,0,961,REST
52,100608,14.95,0,959,REST
53,100609,14.95,0,962,REST
54,100610,14.95,0,964,REST
55,100615,14.95,0,961,REST
56,100619,14.95,0,962,REST
57,100608,14.95,0,959,REST
58,100613,14.95,0,961,REST
59,100622,14.95,0,962,REST
60,100622,14.95,0,961,REST
61,100617,14.95,0,960,REST
62,100637,14.95,0,962,REST
63,100632,14.95,0,960,REST
64,100646,14.95,0,974,REST
65,100634,14.95,0,960,REST
66,100655,14.95,0,961,REST
67,100655,14.95,0,962,REST
68,100647,14.95,0,960,REST
69,100640,14.95,0,960,REST
70,100632,14.95,0,962,REST
71,100614,14.95,0,962,REST
72,100597,14.95,0,965,REST
73,100600,14.95,0,960,REST
74,100596,14.95,0,962,REST
75,100595,40.05,10,964,REST
76,100602,40.05,10,961,REST
77,100607,40.05,10,961,REST
78,100612,40.05,10,962,REST
79,100607,40.05,10,965,REST
80,100613,40.05,10,963,REST
81,100605,40.05,10,963,REST
82,100624,40.05,10,960,REST
83,100627,40.05,10,960,REST
84,100609,40.05,10,964,REST
85,100616,40.05,10,963,REST
86,100609,40.05,10,959,REST
87,100619,40.05,10,961,REST
88,100608,40.05,10,962,REST
89,100616,40.05,10,962,REST
90,100615,40.05,10,962,REST
91,100603,40.05,10,961,REST
92,100604,40.05,10,961,REST
93,100606,40.05,10,961,REST
94,100609,40.05,10,960,REST
95,100620,40.05,10,960,REST
96,100611,40.05,10,960,REST
97,100616,40.05,10,961,REST
98,100613,40.05,10,961,REST
99,100608,40.05,10,962,REST
100,100592,40.05,10,960,REST
101,100578,40.05,10,961,REST
102,100570,40.05,10,961,REST
103,100560,40.05,10,961,REST
104,100558,40.05,10,960,REST
105,100547,40.05,10,963,REST
106,100540,40.05,10,963,REST
107,100543,40.05,10,960,REST
108,100537,40.05,10,961,REST
109,100531,40.05,10,961,REST
110,100528,40.05,10,961,REST
111,100534,40.05,10,962,REST
112,100547,40.05,10,965,REST
113,100530,40.05,10,962,REST
114,100532,40.05,10,962,REST
115,100539,40.05,10,963,REST
116,100543,40.05,10,962,REST
117,100540,40.05,10,960,REST
118,100540,40.05,10,962,REST
119,100547,40.05,10,962,REST
120,100550,40.05,10,961,REST
121,100545,40.05,10,963,REST
122,100557,40.05,10,966,REST
123,100559,40.05,10,965,REST
124,100562,40.05,10,959,REST
125,100573,40.05,10,957,REST
126,100575,40.05,10,960,REST
127,100583,40.05,10,965,REST
128,100586,40.05,10,963,REST
129,100590,40.05,10,963,REST
130,100595,40.05,10,961,REST
131,100594,40.05,10,962,REST
132,100588,40.05,10,964,REST
133,100572,40.05,10,962,REST
134,100558,40.05,10,961,REST
135,100562,50.04,22,961,REST
136,100560,50.04,22,962,REST
137,100563,50.04,22,963,REST
138,100562,50.04,22,961,REST
139,100569,50.04,22,962,REST
140,100582,50.04,22,963,REST
141,100591,50.04,22,960,REST
142,100584,50.04,22,966,REST
143,100599,50.04,22,965,REST
144,100581,50.04,22,965,REST
145,100596,50.04,22,965,REST
146,100605,50.04,22,963,REST
147,100597,50.04,22,963,REST
148,100602,50.04,22,962,REST
149,100604,50.04,22,963,REST
150,100604,50.04,22,965,REST
151,100604,50.04,22,962,REST
152,100604,50.04,22,961,REST
153,100612,50.04,22,964,REST
154,100610,50.04,22,963,REST
155,100615,50.04,22,961,REST
156,100614,50.04,22,963,REST
157,100622,50.04,22,961,REST
158,100625,50.04,22,963,REST
159,100634,50.04,22,964,REST
160,100633,50.04,22,961,REST
161,100621,50.04,22,966,REST
162,100619,50.04,22,966,REST
163,100606,50.04,22,961,REST
164,100594,50.04,22,960,REST
165,100581,50.04,22,963,REST
166,100569,50.04,22,965,REST
167,100570,50.04,22,961,REST
168,100564,50.04,22,962,REST
169,100564,50.04,22,962,REST
170,100581,50.04,22,961,REST
171,100565,50.04,22,962,REST
172,100565,50.04,22,963,REST
173,100571,50.04,22,976,REST
174,100581,50.04,22,961,REST
175,100579,50.04,22,960,REST
176,100582,50.04,22,963,REST
177,100578,50.04,22,961,REST
178,100582,50.04,22,960,REST
179,100580,50.04,22,963,REST
180,100587,50.04,22,960,REST
181,100586,50.04,22,962,REST
182,100586,50.04,22,962,REST
183,100593,50.04,22,964,REST
184,100595,50.04,22,961,REST
185,100605,50.04,22,966,REST
186,100605,50.04,22,966,REST
187,100611,50.04,22,962,REST
188,100623,50.04,22,962,REST
189,100616,50.04,22,966,REST
190,100619,50.04,22,966,REST
191,100626,53.57,35,961,REST
192,100639,53.57,35,966,REST
193,100640,53.57,35,967,REST
194,100642,53.57,35,965,REST
195,100660,53.57,35,965,REST
196,100651,53.57,35,962,REST
197,100628,53.57,35,967,REST
198,100612,53.57,35,966,REST
199,100608,53.57,35,963,REST
200,100613,53.57,35,965,REST
201,100605,53.57,35,962,REST
202,100609,53.57,35,965,REST
203,100611,53.57,35,976,REST
204,100620,53.57,35,965,REST
205,100619,53.57,35,966,REST
206,100631,53.57,35,963,REST
207,100624,53.57,35,970,REST
208,100623,53.57,35,965,REST
209,100630,53.57,35,963,REST
210,100626,53.57,35,971,REST
211,100620,53.57,35,968,REST
212,100624,53.57,35,974,REST
213,100636,53.57,35,967,REST
214,100624,53.57,35,967,REST
215,100628,53.57,35,967,REST
216,100619,53.57,35,969,REST
217,100638,53.57,35,966,REST
218,100634,53.57,35,967,REST
219,100636,53.57,35,966,REST
